COUNTY,YEAR,PRODUCTION (Kgs),RAINFALL (mm),ALTITUTDE (M),TEMPERATURE (Degree Celsius)
KIAMICIRI,2000,"160,589",1200,1386,13 - 26
KIANGOTHE,2000,"410,724",1200,1531,13 - 26
KIMANDI,2000,"268,752",1400,1672,13 - 24
KIRINGA,2000,"575,819",1200,1558,13 - 26
KONYU,2000,"476,394",1200,1581,13 - 26
KANJUU,2000,"178,587",1200,1465,13 - 26
GITUTO,2000,"396,993",1500,1704,13 - 23
KIAMBUI,2000,"561,397",1200,1414,13 - 26
KIUNYU,2000,"332,137",1200,1414,13 - 26
NGUGUINI,2000,"344,642",1200,1383,13 - 26
CHEMA,2000,"448,122",1400,1684,13 - 24
KIAI,2000,"88,027",1400,1644,13 - 24
KIANGAI,2000,"418,073",1400,1644,13 - 24
KIANJEGE,2000,"486,449",1550,1446,13 - 26
KIBINGOTI,2000,"663,630",1200,1426,13 - 25
MUKANGU,2000,"711,338",1550,1650,13 - 26
RAGATI,2000,"915,985",1400,1704,13 - 24
THUNGURI,2000,"364,529",1400,1724,13 - 24
MBURI,2000,"282,448",1300,1495,13 - 25
RIANJUE,2000,"299,194",1200,1345,13 - 25
KIAMUTUIRA,2000,"20,924",1200,1560,13 - 25
GIKONGORO,2000,"218,401",1300,1444,13 - 25
GIKUI,2000,"151,541",1400,1628,13 - 24
KUIRI,2000,"158,820",1300,1432,13 - 26
RWARENE,2000,"159,217",1300,1421,13 - 26
KAGURU,2000,"92,299",1550,1500,14 - 24
KARIA,2000,"242,920",1200,1380,13 - 26
KATHANGENE,2000,"366,606",1300,1343,13 - 26
GITHUNE,2000,"42,729",1300,1457,13 - 25
KIERU,2000,"123,240",1300,1325,13 - 26
NTEMWENE,2000,"99,982",1300,1483,13 - 26
TAAI,2000,"25,847",1400,1564,13 - 25
KATHARE,2000,"198,563",1300,1343,13 - 26
MUTONGA,2000,"201,725",1400,1523,13 - 25
GACHIEGE,2000,"24,092",1300,1500,13 - 25
KIJIJONE,2000,"26,699",1400,1633,13 - 25
KINJO,2000,"133,289",1400,1661,13 - 25
RIJE,2000,"7,354",1400,1697,13 - 25
GITUGU,2000,"59,676",1300,1255,13 - 25
ITHIMA,2000,"43,115",1400,1255,13 - 25
KIAMIRIRU,2000,"19,207",1300,1580,13 - 25
NGONYI,2000,"42,998",1400,1837,13 - 25
NTHUNGU,2000,"8,945",1300,1708,13 - 26
KARINDINE,2000,"150,925",1300,1793,13 - 26
MAGANJO,2000,"271,925",1300,1440,13 - 25
MAURA,2000,"99,272",1400,1543,13 - 24
RWANKWARE,2000,"192,218",1300,1744,13 - 25
GATHIMA,2000,"231,649",1300,1565,13 - 25
GATUBU,2000,"360,187",1300,1590,13 - 25
GITURA,2000,"352,240",1300,1390,13 - 26
IYEGO MAIN,2000,"449,852",1300,1527,13 - 26
KABIRUINI,2000,"161,230",1300,1472,13 - 26
KIRANGANO,2000,"149,272",1300,1390,13 - 26
MARIMIRA,2000,"190,741",1000,1750,13 - 26
MUNUNGA,2000,"371,226",1300,1600,13 - 24
THANGATHI,2000,"131,857",1000,1750,13 - 26
WATUHA,2000,"181,108",1100,1700,13 - 25
GACIRAGO,2000,"831,681",1000,1750,13 - 26
GEITWA,2000,"380,013",1000,1750,13 - 26
ICHANJERU,2000,"48,655",1100,1730,13 - 24
MURIOWANDA,2000,"148,655",1000,1750,13 - 26
WATHENGE,2000,"676,332",1100,1700,13 - 24
GITARO,2000,"10,250",1000,1750,13 - 26
KAHURO,2000,"289,770",1200,1530,13 - 25
KIANJOGU,2000,"137,762",1200,1570,13 - 25
KIBOI,2000,"182,615",1200,1480,13 - 25
MBARI YA HITI,2000,"79,279",1200,1450,13 - 25
MITARAKWA,2000,"95,078",1200,1470,13 - 25
MURICHU,2000,"240,641",1100,1700,13 - 25
RWARO,2000,"70,271",1100,1650,13 - 26
YAMUGWE,2000,"154,002",1100,1630,13 - 26
GATHAMBA,2000,"78,256",1000,1750,13 - 26
GATHINJA,2000,"194,742",1100,1630,13 - 25
KAHUHIA,2000,"171,802",1100,1700,13 - 25
NGUTU,2000,"595,873",1000,1720,13 - 26
KEVOTE,2000,0,1100,1700,13 - 25
KIANJUKI,2000,0,1100,1700,13 - 26
NGAINDETHIA,2000,0,1100,1750,13 - 26
KITHUNGURURU,2000,0,1100,1700,13 - 26
KIVIUVI,2000,0,1100,1750,13 - 26
KITHEGI,2000,0,1100,1650,13 - 26
KITHIMU,2000,0,1500,1590,12 - 27
MINAI,2000,0,1550,1610,12 - 27
KITHANGARIRI,2000,0,1500,1550,12 - 27
GITWARA,2000,0,1600,1600,12 - 27
KIANYANGI,2000,0,1600,1600,12 - 27
NGURWERI,2000,0,1400,1400,12 - 27
GATUNDURI,2000,0,1400,1420,12 - 27
KIHUMBU,2000,0,1500,1430,12 - 27
MIRUNDI,2000,0,1200,1600,11 - 25
THAMBO,2000,0,1600,1740,12 - 25
KIRIMIRI,2000,0,1600,1720,12 - 25
GACHAGORI,2000,0,1600,1760,12 - 25
GACHUNGU,2000,0,1600,1600,12 - 27
GAKWEGORI,2000,0,1600,1600,12 - 27
KIAMICIRI,2001,"175,075",1200,1386,13 - 26
KIANGOTHE,2001,"401,256",1200,1531,13 - 26
KIMANDI,2001,"220,478",1400,1672,13 - 24
KIRINGA,2001,"550,869",1200,1558,13 - 26
KONYU,2001,"426,857",1200,1581,13 - 26
KANJUU,2001,"182,759",1200,1465,13 - 26
GITUTO,2001,"135,562",1500,1704,13 - 23
KIAMBUI,2001,"167,723",1200,1414,13 - 26
